timestamp,agent.name,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 15:38:00.632","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:38:00.618","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:38:00.582","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:38:00.554","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:38:00.506","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:38:00.491","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:38:00.459","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:37:41.139","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:37:38.098","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:37:11.692","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:37:11.689","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:37:11.684","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:37:11.683","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:37:09.774","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:37:09.745","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:37:06.669","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:36:56.967","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:36:55.917","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:36:55.912","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:36:26.474","Cyber-DC","User account changed","8","60110"
"Sep 14, 2026 @ 15:36:26.472","Cyber-DC","User account enabled or created","8","60109"
"Sep 14, 2026 @ 15:36:26.455","Cyber-DC","User account enabled or created","8","60109"
"Sep 14, 2026 @ 15:36:09.737","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:36:09.736","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:35:33.626","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:35:33.624","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:35:09.718","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:35:09.718","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:34:18.534","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:34:18.534","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:34:17.452","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:34:17.364","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:34:12.404","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:34:09.707","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:34:09.706","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:33:11.521","Cyber-DC","Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:33:11.477","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:33:11.464","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:33:11.464","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:11.462","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:11.432","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:11.353","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:33:11.338","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:33:11.321","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:11.305","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:11.298","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:11.298","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:11.258","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:11.159","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:33:10.150","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:10.144","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:10.144","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:10.105","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:10.095","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:09.772","Cyber-DC","Windows User Logoff","3","60137"
"Sep 14, 2026 @ 15:33:09.756","Cyber-DC","Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:33:09.665","Cyber-DC","Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:33:09.623","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:09.544","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.530","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.514","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.509","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.492","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.477","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.461","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.448","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:09.445","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.431","Cyber-DC","Registry Key Entry Added to the System","5","598"
"Sep 14, 2026 @ 15:33:09.415","Cyber-DC","Registry Value Entry Added to the System","5","752"
"Sep 14, 2026 @ 15:33:09.400","Cyber-DC","Registry Value Entry Added to the System","5","752"
