timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id
"Sep 14, 2026 @ 15:58:00.742","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:56.138","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:57:56.099","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:57:52.200","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:57:51.542","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Value Integrity Checksum Changed","5","750"
"Sep 14, 2026 @ 15:57:51.542","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:57:27.420","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:13.416","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:13.411","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:57:09.891","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:56:55.936","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:56:48.542","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:56:09.890","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:55:09.887","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:54:09.884","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:09.876","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.682","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.672","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.669","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:53:00.664","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:56.495","Cyber-DC",["T1565.001","T1112"],["Impact","Defense Evasion"],"Registry Key Integrity Checksum Changed","5","594"
"Sep 14, 2026 @ 15:52:12.895","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:12.887","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:09.883","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:52:06.463","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:51:09.861","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:50:09.865","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:39.640","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:39.632","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
"Sep 14, 2026 @ 15:49:09.891","Cyber-DC",["T1078"],["Defense Evasion","Persistence","Privilege Escalation","Initial Access"],"Windows Logon Success","3","60106"
